,Germany cases
2020-08-04,212828
2020-08-05,214113
2020-08-06,215039
2020-08-07,216196
2020-08-08,216903
2020-08-09,217288
2020-08-10,218508
2020-08-11,219540
2020-08-12,220859
2020-08-13,222281
2020-08-14,223791
2020-08-15,224488
2020-08-16,225007
2020-08-17,226700
2020-08-18,228120
2020-08-19,229706
2020-08-20,231292
2020-08-21,233029
2020-08-22,233861
2020-08-23,234494
2020-08-24,236122
2020-08-25,237583
2020-08-26,239010
2020-08-27,240571
2020-08-28,242126
2020-08-29,242835
2020-08-30,243305
2020-08-31,244802
2020-09-01,246015
2020-09-02,247411
2020-09-03,248840
2020-09-04,250283
2020-09-05,251058
2020-09-06,251728
2020-09-07,253626
2020-09-08,254957
2020-09-09,256433
2020-09-10,258149
2020-09-11,259735
2020-09-12,260817
2020-09-13,261737
2020-09-14,263222
2020-09-15,265014
2020-09-16,266869
2020-09-17,269048
2020-09-18,271247
2020-09-19,272932
2020-09-20,273965
2020-09-21,275560
2020-09-22,277412
2020-09-23,279025
2020-09-24,281346
2020-09-25,283712
2020-09-26,285026
2020-09-27,286339
2020-09-28,288631
2020-09-29,290471
2020-09-30,292913
2020-10-01,295539
2020-10-02,298374
2020-10-03,300027
2020-10-04,301573
2020-10-05,304673
2020-10-06,307127
2020-10-07,311137
2020-10-08,315941
2020-10-09,320495
2020-10-10,323463
2020-10-11,326309
2020-10-12,332850
2020-10-13,337314
2020-10-14,344487
2020-10-15,352107
2020-10-16,359802
2020-10-17,364664
2020-10-18,368671
2020-10-19,377068
2020-10-20,385591
2020-10-21,397922
2020-10-22,403874
2020-10-23,417350
2020-10-24,427808
2020-10-25,437698
2020-10-26,450258
2020-10-27,463419
2020-10-28,479621
2020-10-29,498354
2020-10-30,517736
2020-10-31,531790
2020-11-01,544346
2020-11-02,569598
2020-11-03,577131
2020-11-04,608611
2020-11-05,631172
2020-11-06,653992
2020-11-07,668114
2020-11-08,682624
2020-11-09,689146
2020-11-10,715693
2020-11-11,738094
2020-11-12,762832
2020-11-13,785093
